decile,participants,mean_predicted_risk,observed_prevalence
1,470,0.0035842818166425122,0.0
2,470,0.006266181067498173,0.0
3,470,0.008874676166611743,0.002127659574468085
4,469,0.011539446361359928,0.0
5,470,0.01470774922532559,0.006382978723404255
6,470,0.018408447174361967,0.01276595744680851
7,469,0.023240300523631945,0.02771855010660981
8,470,0.030203272110404206,0.06170212765957447
9,470,0.04305614050681637,0.06170212765957447
10,470,0.08683776359184149,0.07446808510638298
